feature,aumento_MAE_USD,std
Sup_Total_m2_num,28538.02911479763,887.0794529994107
Sup_Cubierta_m2_num,8382.324807563082,339.38869667629695
Expensas_num,7312.456124667097,381.4339606140551
Latitud,5718.147675104697,703.6248751909925
Baños,4654.455686942946,516.8520372710632
Antiguedad,3617.39003120735,218.56529066341238
Baulera,2070.015963396928,172.28204238001453
Estado,1418.6404270467349,73.36390612562727
Ambientes,1012.2514313616208,184.3335377962452
Pileta,759.9131138600017,94.42547175265479
Barrio,722.8522122064111,14.79736065274296
Tipo_Unidad,544.5330393223412,82.99227477218946
Subte_cercano,455.7823238033001,17.126414126206754
Balcón,431.83915925191104,44.492294773573384
Longitud,368.98095456852604,26.968695095021502
Dist_Colegio_m,345.7934372816715,50.15778723068159
Linea_subte,334.0001349427548,76.2841169104379
Colegios_500m,265.77969373466476,28.74566892649572
Disposicion,235.60832581952272,49.34001169499407
Gimnasio,210.5360836980457,45.28967496821613
Hospital_cercano,198.00706799199253,26.011472499257547
Comuna,150.13990401478515,56.300961343016475
Aire_acondicionado_individual,146.26951337434875,12.367831062437615
Cochera,134.70699445261707,45.00606743404869
Piso_num,130.6949800178947,61.77506171780567
Paradas_colectivo_300m,120.80721908788401,81.41402751520468
Dist_Subte_m,111.55740155787934,51.123890068550104
Dist_Gimnasio_m,82.62236916588736,60.89257830967998
Supermercados_500m,70.50260769070738,44.65180558523093
Gas_natural,67.82480008510174,38.81146891168681
Dormitorios,63.857776338352416,17.934581706597722
Avenida_cercana,58.75144831682992,14.050441777662154
Dist_Hospital_m,41.1169607322794,52.98574264758038
Dist_Comisaria_m,20.058614045305877,58.739770724337056
Vigilancia,19.367328919949067,1.2828592824148803
Patio,14.770659766875905,3.0478199707179114
Terraza,12.95655196037551,6.934992448329965
Laundry,12.274964694067602,4.922509232070974
Sauna,8.027080110667157,5.254689193876598
Dist_Avenida_m,7.967439609019493,27.59957949896072
Permite_Mascotas,7.5194636738509875,5.2222724403565355
Parrilla,7.243906731050811,5.863202341386602
Ascensor,4.135188884320087,7.330366474045141
Losa_radiante,3.697077531411196,2.23410392390704
Muebles_de_cocina,1.1206199256048421,2.2069912323970167
Seguridad_24hs,0.0,0.0
SUM,0.0,0.0
Lavarropas,0.0,0.0
Lavavajillas,0.0,0.0
Piscina,0.0,0.0
Agua_corriente,-0.4953545381125878,7.573275553069612
Jardín,-2.6232015697896713,1.5443827016543807
Dist_Supermercado_m,-7.065490662722732,47.941373909162465
