variable_original,tipo_variable,variable_renombrada
Unnamed: 0,sintetica,sintetica_id_registro
Precio,imputada,imputada_Precio
Expensas,imputada,imputada_Expensas
Calle,original,original_Calle
Altura,original,original_Altura
Piso,imputada,imputada_Piso
Link,original,original_Link
Ambientes,imputada,imputada_Ambientes
Dormitorios,imputada,imputada_Dormitorios
Baños,original,original_Banos
Estado,imputada,imputada_Estado
Antiguedad,imputada,imputada_Antiguedad
Disposicion,imputada,imputada_Disposicion
Tipo_Unidad,imputada,imputada_Tipo_Unidad
Sup_Cubierta_m2,imputada,imputada_Sup_Cubierta_m2
Sup_Total_m2,imputada,imputada_Sup_Total_m2
Aire_acondicionado_individual,original,original_Aire_acondicionado_individual
Losa_radiante,original,original_Losa_radiante
Gas_natural,original,original_Gas_natural
Agua_corriente,original,original_Agua_corriente
Balcón,original,original_Balcon
Terraza,original,original_Terraza
Jardín,original,original_Jardin
Patio,original,original_Patio
Baulera,original,original_Baulera
Cochera,original,original_Cochera
Muebles_de_cocina,original,original_Muebles_de_cocina
Permite_Mascotas,original,original_Permite_Mascotas
Ascensor,original,original_Ascensor
Pileta,original,original_Pileta
Parrilla,original,original_Parrilla
Gimnasio,original,original_Gimnasio
Sauna,original,original_Sauna
Laundry,original,original_Laundry
Vigilancia,original,original_Vigilancia
Latitud,enriquecida,enriquecida_Latitud
Longitud,enriquecida,enriquecida_Longitud
Barrio,enriquecida,enriquecida_Barrio
Comuna,enriquecida,enriquecida_Comuna
Dist_Subte_m,enriquecida,enriquecida_Dist_Subte_m
Subte_cercano,enriquecida,enriquecida_Subte_cercano
Linea_subte,enriquecida,enriquecida_Linea_subte
Dist_Hospital_m,enriquecida,enriquecida_Dist_Hospital_m
Hospital_cercano,enriquecida,enriquecida_Hospital_cercano
Dist_Colegio_m,enriquecida,enriquecida_Dist_Colegio_m
Colegios_500m,enriquecida,enriquecida_Colegios_500m
Dist_Comisaria_m,enriquecida,enriquecida_Dist_Comisaria_m
Dist_Gimnasio_m,enriquecida,enriquecida_Dist_Gimnasio_m
Dist_Supermercado_m,enriquecida,enriquecida_Dist_Supermercado_m
Supermercados_500m,enriquecida,enriquecida_Supermercados_500m
Dist_Avenida_m,enriquecida,enriquecida_Dist_Avenida_m
Avenida_cercana,enriquecida,enriquecida_Avenida_cercana
Paradas_colectivo_300m,enriquecida,enriquecida_Paradas_colectivo_300m
Antiguedad_imputada,imputada,imputada_Antiguedad_imputada
Cluster,sintetica,sintetica_Cluster
