subte_cercano_key,subte_cercano_valor
1,9 DE JULIO
2,ACOYTE
3,AGÜERO
4,ALBERTI
5,ALMAGRO - MEDRANO
6,ANGEL GALLARDO
7,AV. LA PLATA
8,BELGRANO
9,BOEDO
10,BOLIVAR
11,BULNES
12,C. PELLEGRINI
13,CALLAO
14,CALLAO - MAESTRO ALFREDO BRAVO
15,CARABOBO
16,CARLOS GARDEL
17,CASEROS
18,CASTRO BARROS
19,CATALINAS
20,CATEDRAL
21,CONGRESO - PDTE. DR. RAÚL R. ALFONSÍN
22,CONGRESO DE TUCUMAN
23,CONSTITUCION
24,CORREO CENTRAL
25,CORRIENTES
26,CÓRDOBA
27,DE LOS INCAS -PQUE. CHAS
28,DIAGONAL NORTE
29,DORREGO
30,ECHEVERRÍA
31,EMILIO MITRE
32,ENTRE RIOS - RODOLFO WALSH
33,FACULTAD DE DERECHO - JULIETA LANTERI
34,FACULTAD DE MEDICINA
35,FEDERICO LACROZE
36,HOSPITALES
37,HUMBERTO 1°
38,INCLAN - MEZQUITA AL AHMAD
39,INDEPENDENCIA
40,JOSE HERNANDEZ
41,JOSE MARIA MORENO
42,JUAN MANUEL DE ROSAS - VILLA URQUIZA
43,JUJUY
44,JURAMENTO
45,LAS HERAS
46,LAVALLE
47,LEANDRO N. ALEM
48,LIMA
49,LORIA
50,MALABIA - OSVALDO PUGLIESE
51,MEDALLA MILAGROSA
52,MINISTRO CARRANZA - MIGUEL ABUELO
53,MORENO
54,OLLEROS
55,ONCE - 30 DE DICIEMBRE
56,PALERMO
57,PARQUE PATRICIOS
58,PASCO
59,PASTEUR - AMIA
60,PICHINCHA
61,PIEDRAS
62,PLAZA DE LOS VIRREYES - EVA PERON
63,PLAZA DE MAYO
64,PLAZA DE MISERERE
65,PLAZA ITALIA
66,PRIMERA JUNTA
67,PUAN
68,PUEYRREDON
69,R.SCALABRINI ORTIZ
70,RETIRO
71,RIO DE JANEIRO
72,SAENZ PEÑA
73,SAN JOSE
74,SAN JOSÉ DE FLORES
75,SAN JUAN
76,SAN MARTIN
77,SAN PEDRITO
78,SANTA FE - CARLOS JAUREGUI
79,TRIBUNALES - TEATRO COLÓN
80,TRONADOR - VILLA ORTÚZAR
81,URQUIZA
82,URUGUAY
83,VARELA
84,VENEZUELA
